\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   910.3194486  3.9835969e+05 
 0   910.3398826  3.9836850e+05 
 0   910.3603167  3.9835725e+05 
 0   910.3807507  3.9839250e+05 
 0   910.4011848  3.9836697e+05 
 0   910.4216187  3.9839638e+05 
 0   910.4420527  3.9837434e+05 
 0   910.4624869  3.9841497e+05 
 0   910.4829209  3.9836684e+05 
 0   910.5033548  3.9836981e+05 
 0   910.5237889  3.9836909e+05 
 0   910.5442229  3.9837781e+05 
 0   910.5646569  3.9835575e+05 
 0   910.5850910  3.9838419e+05 
 0   910.6055250  3.9836553e+05 
 0   910.6259590  3.9836906e+05 
 0   910.6463930  3.9838162e+05 
 0   910.6668271  3.9837725e+05 
 0   910.6872612  3.9840788e+05 
 0   910.7076951  3.9840106e+05 
 0   910.7281291  3.9835722e+05 
 0   910.7485631  3.9839456e+05 
 0   910.7689972  3.9838684e+05 
 0   910.7894311  3.9837094e+05 
 0   910.8098652  3.9835462e+05 
 0   910.8302992  3.9838012e+05 
 0   910.8507333  3.9800894e+05 
 0   910.8711672  3.9405978e+05 
 0   910.8916013  3.9268128e+05 
 0   910.9120354  3.9516675e+05 
 0   910.9324693  3.9833753e+05 
 0   910.9529033  3.9840556e+05 
 0   910.9733374  3.9840250e+05 
 0   910.9937713  3.9836862e+05 
 0   911.0142053  3.9841925e+05 
 0   911.0346395  3.9835488e+05 
 0   911.0550735  3.9838191e+05 
 0   911.0755075  3.9839212e+05 
 0   911.0959415  3.9837559e+05 
 0   911.1163755  3.9841541e+05 
 0   911.1368095  3.9840378e+05 
 0   911.1572436  3.9840284e+05 
 0   911.1776776  3.9837481e+05 
 0   911.1981117  3.9839553e+05 
 0   911.2185456  3.9837275e+05 
 0   911.2389796  3.9840903e+05 
 0   911.2594137  3.9835200e+05 
 0   911.2798476  3.9836547e+05 
 0   911.3002817  3.9840509e+05 
 0   911.3207158  3.9841794e+05 
 0   911.3411497  3.9840591e+05 
 0   911.3615838  3.9838938e+05 
 0   911.3820178  3.9841331e+05 
 0   911.4024517  3.9835984e+05 
 0   911.4228858  3.9838119e+05 
 0   911.4433197  3.9841203e+05 
 0   911.4637537  3.9837650e+05 
 0   911.4841879  3.9843331e+05 
 0   911.5046218  3.9839212e+05 
 0   911.5250559  3.9836609e+05 
 0   911.5454899  3.9843700e+05 
 0   911.5659239  3.9841122e+05 
 0   911.5863579  3.9838962e+05 
 0   911.6067919  3.9838562e+05 
 0   911.6272259  3.9841384e+05 
 0   911.6476599  3.9838134e+05 
 0   911.6680940  3.9839378e+05 
 0   911.6885280  3.9837647e+05 
 0   911.7089621  3.9841662e+05 
 0   911.7293960  3.9843066e+05 
 0   911.7498301  3.9841728e+05 
 0   911.7702641  3.9839706e+05 
 0   911.7906980  3.9838234e+05 
 0   911.8111321  3.9844103e+05 
 0   911.8315661  3.9841712e+05 
 0   911.8520000  3.9844691e+05 
 0   911.8724342  3.9840288e+05 
 0   911.8928682  3.9839091e+05 
 0   911.9133021  3.9841344e+05 
 0   911.9541702  3.9842522e+05 
 0   911.9746043  3.9841147e+05 
 0   911.9950382  3.9843525e+05 
 0   912.0154722  3.9839962e+05 
 0   912.0359063  3.9841241e+05 
 0   912.0563402  3.9839153e+05 
 0   912.0767742  3.9839769e+05 
 0   912.0972082  3.9843812e+05 
 0   912.1176422  3.9841238e+05 
 0   912.1380762  3.9838875e+05 
 0   912.1585103  3.9839438e+05 
 0   912.1789443  3.9840219e+05 
 0   912.1993784  3.9836619e+05 
 0   912.2198124  3.9839906e+05 
 0   912.2402463  3.9840541e+05 
 0   912.2606804  3.9840581e+05 
 0   912.2811144  3.9839347e+05 
 0   912.3015483  3.9842978e+05 
 0   912.3219824  3.9841894e+05 
 0   912.3424164  3.9842859e+05 
 0   912.3628503  3.9839122e+05 
 0   912.3832844  3.9837759e+05 
 0   912.4037184  3.9839522e+05 
 0   912.4241525  3.9840859e+05 
 0   912.4445864  3.9840778e+05 
 0   912.4650204  3.9843762e+05 
 0   912.4854545  3.9838647e+05 
 0   912.5058884  3.9839828e+05 
 0   912.5263224  3.9840119e+05 
 0   912.5467565  3.9838828e+05 
 0   912.5671904  3.9836947e+05 
 0   912.5876244  3.9834741e+05 
 0   912.6080585  3.9840581e+05 
 0   912.6284924  3.9841634e+05 
 0   912.6489266  3.9841884e+05 
 0   912.6693606  3.9839950e+05 
 0   912.6897946  3.9838572e+05 
 0   912.7102286  3.9839481e+05 
 0   912.7306626  3.9836712e+05 
 0   912.7510966  3.9838650e+05 
 0   912.7715306  3.9838016e+05 
 0   912.7919646  3.9842091e+05 
 0   912.8123985  3.9836994e+05 
 0   912.8328326  3.9839000e+05 
 0   912.8532666  3.9840931e+05 
 0   912.8737006  3.9839253e+05 
 0   912.8941346  3.9837344e+05 
 0   912.9145686  3.9834828e+05 
 0   912.9350027  3.9837744e+05 
 0   912.9554366  3.9842378e+05 
 0   912.9758706  3.9842841e+05 
 0   912.9963047  3.9841444e+05 
 0   913.0167386  3.9841066e+05 
 0   913.0371726  3.9844150e+05 
 0   913.0576067  3.9837100e+05 
 0   913.0780406  3.9841922e+05 
 0   913.0984747  3.9842634e+05 
 0   913.1189087  3.9837659e+05 
 0   913.1393425  3.9840856e+05 
 0   913.1597766  3.9836859e+05 
 0   913.1802106  3.9836897e+05 
 0   913.2006446  3.9838300e+05 
 0   913.2210786  3.9840931e+05 
 0   913.2415126  3.9836494e+05 
 0   913.2619466  3.9839678e+05 
 0   913.2823806  3.9838281e+05 
 0   913.3028146  3.9829081e+05 
 0   913.3232487  3.9783584e+05 
 0   913.3436826  3.9372184e+05 
 0   913.3641166  3.9272075e+05 
 0   913.3845506  3.9561894e+05 
 0   913.4049847  3.9838578e+05 
 0   913.4254186  3.9840606e+05 
 0   913.4458527  3.9835288e+05 
 0   913.4662866  3.9838388e+05 
 0   913.4867206  3.9841012e+05 
 0   913.5071547  3.9840253e+05 
 0   913.5275886  3.9842522e+05 
 0   913.5480227  3.9842734e+05 
 0   913.5684567  3.9843278e+05 
 0   913.5888906  3.9838709e+05 
 0   913.6093247  3.9839378e+05 
 0   913.6297587  3.9835362e+05 
 0   913.6501925  3.9834419e+05 
 0   913.6706266  3.9838106e+05 
 0   913.6910606  3.9836559e+05 
 0   913.7114945  3.9837462e+05 
 0   913.7319286  3.9834406e+05 
 0   913.7523626  3.9839900e+05 
 0   913.7727967  3.9841253e+05 
 0   913.7932306  3.9839253e+05 
 0   913.8136646  3.9839062e+05 
 0   913.8340987  3.9838169e+05 
 0   913.8545326  3.9841984e+05 
 0   913.8749666  3.9836712e+05 
 0   913.8954007  3.9839616e+05 
 0   913.9158346  3.9838834e+05 
 0   913.9362685  3.9837662e+05 
 0   913.9567026  3.9837356e+05 
 0   913.9771366  3.9840975e+05 
 0   913.9975705  3.9840766e+05 
 0   914.0180046  3.9839828e+05 
 0   914.0384386  3.9839809e+05 
 0   914.0588726  3.9840712e+05 
 0   914.0793066  3.9838319e+05 
 0   914.0997405  3.9839116e+05 
 0   914.1201746  3.9839219e+05 
 0   914.1406085  3.9837856e+05 
 0   914.1610424  3.9840722e+05 
 0   914.1814765  3.9839906e+05 
 0   914.2019105  3.9833972e+05 
 0   914.2223444  3.9838375e+05 
 0   914.2427785  3.9836350e+05 
 0   914.2632125  3.9838334e+05 
 0   914.2836466  3.9839812e+05 
 0   914.3040805  3.9839600e+05 
 0   914.3245144  3.9838166e+05 
 0   914.3449485  3.9839419e+05 
 0   914.3653824  3.9838403e+05 
 0   914.3858164  3.9842294e+05 
 0   914.4062505  3.9841025e+05 
 0   914.4266845  3.9841031e+05 
 0   914.4471184  3.9838450e+05 
 0   914.4675525  3.9840212e+05 
 0   914.4879864  3.9838438e+05 
 0   914.5084204  3.9839059e+05 
 0   914.5288544  3.9839088e+05 
 0   914.5492884  3.9839819e+05 
 0   914.5697225  3.9838862e+05 
 0   914.5901564  3.9835925e+05 
 0   914.6105904  3.9837147e+05 
 0   914.6310244  3.9834844e+05 
 0   914.6514583  3.9837650e+05 
 0   914.6718923  3.9841681e+05 
 0   914.6923264  3.9842256e+05 
 0   914.7127603  3.9842050e+05 
 0   914.7331944  3.9840494e+05 
 0   914.7536282  3.9836775e+05 
 0   914.7740622  3.9845881e+05 
 0   914.7944963  3.9837378e+05 
