\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   970.1913226  3.9181456e+05 
 0   970.1920037  3.9152988e+05 
 0   970.1926847  3.9183153e+05 
 0   970.1933659  3.9175372e+05 
 0   970.1940470  3.9173844e+05 
 0   970.1947281  3.9178541e+05 
 0   970.1954093  3.9179222e+05 
 0   970.1960904  3.9212012e+05 
 0   970.1967715  3.9201656e+05 
 0   970.1974527  3.9210806e+05 
 0   970.1981337  3.9235153e+05 
 0   970.1988148  3.9225334e+05 
 0   970.1994959  3.9227903e+05 
 0   970.2001771  3.9239666e+05 
 0   970.2008582  3.9259022e+05 
 0   970.2015393  3.9275194e+05 
 0   970.2022205  3.9294003e+05 
 0   970.2029015  3.9301716e+05 
 0   970.2035825  3.9322434e+05 
 0   970.2042637  3.9339375e+05 
 0   970.2049448  3.9353934e+05 
 0   970.2056259  3.9371619e+05 
 0   970.2063071  3.9396738e+05 
 0   970.2069882  3.9398159e+05 
 0   970.2076694  3.9407703e+05 
 0   970.2083505  3.9444997e+05 
 0   970.2090315  3.9483372e+05 
 0   970.2097126  3.9476309e+05 
 0   970.2103938  3.9506656e+05 
 0   970.2110749  3.9525231e+05 
 0   970.2117561  3.9547944e+05 
 0   970.2124372  3.9547984e+05 
 0   970.2131183  3.9592628e+05 
 0   970.2137995  3.9601812e+05 
 0   970.2144805  3.9599444e+05 
 0   970.2151615  3.9661925e+05 
 0   970.2158426  3.9649056e+05 
 0   970.2165238  3.9678725e+05 
 0   970.2172049  3.9676316e+05 
 0   970.2178860  3.9695856e+05 
 0   970.2185672  3.9695928e+05 
 0   970.2192483  3.9716403e+05 
 0   970.2199294  3.9734153e+05 
 0   970.2206105  3.9740072e+05 
 0   970.2212916  3.9727656e+05 
 0   970.2219727  3.9722678e+05 
 0   970.2226539  3.9731403e+05 
 0   970.2233350  3.9745791e+05 
 0   970.2240161  3.9742578e+05 
 0   970.2246972  3.9737831e+05 
 0   970.2253784  3.9725434e+05 
 0   970.2260593  3.9760916e+05 
 0   970.2267404  3.9745097e+05 
 0   970.2274216  3.9732744e+05 
 0   970.2281027  3.9724175e+05 
 0   970.2287838  3.9727462e+05 
 0   970.2294650  3.9755203e+05 
 0   970.2301461  3.9742022e+05 
 0   970.2308272  3.9745066e+05 
 0   970.2315083  3.9724125e+05 
 0   970.2321894  3.9731238e+05 
 0   970.2328705  3.9724053e+05 
 0   970.2335516  3.9730519e+05 
 0   970.2342328  3.9725250e+05 
 0   970.2349139  3.9745484e+05 
 0   970.2355951  3.9719703e+05 
 0   970.2362762  3.9763859e+05 
 0   970.2369572  3.9738369e+05 
 0   970.2376382  3.9745653e+05 
 0   970.2383194  3.9716138e+05 
 0   970.2390005  3.9720975e+05 
 0   970.2396817  3.9745088e+05 
 0   970.2403628  3.9735509e+05 
 0   970.2410439  3.9731500e+05 
 0   970.2417251  3.9746622e+05 
 0   970.2424062  3.9735978e+05 
 0   970.2430872  3.9750603e+05 
 0   970.2437684  3.9743159e+05 
 0   970.2444495  3.9740650e+05 
 0   970.2451306  3.9731481e+05 
 0   970.2458118  3.9730812e+05 
 0   970.2464929  3.9750312e+05 
 0   970.2471740  3.9741769e+05 
 0   970.2478552  3.9742203e+05 
 0   970.2485361  3.9736078e+05 
 0   970.2492172  3.9750647e+05 
 0   970.2498984  3.9744647e+05 
 0   970.2505795  3.9731891e+05 
 0   970.2512606  3.9749762e+05 
 0   970.2519417  3.9729347e+05 
 0   970.2526229  3.9763131e+05 
 0   970.2533040  3.9733309e+05 
 0   970.2539850  3.9728103e+05 
 0   970.2546662  3.9742250e+05 
 0   970.2553473  3.9731462e+05 
 0   970.2560284  3.9748950e+05 
 0   970.2567095  3.9745384e+05 
 0   970.2573907  3.9741097e+05 
 0   970.2580718  3.9734028e+05 
 0   970.2587530  3.9733253e+05 
 0   970.2594340  3.9725491e+05 
 0   970.2601150  3.9734375e+05 
 0   970.2607961  3.9724209e+05 
 0   970.2614773  3.9731934e+05 
 0   970.2621584  3.9732153e+05 
 0   970.2628396  3.9753803e+05 
 0   970.2635207  3.9737484e+05 
 0   970.2642018  3.9745941e+05 
